DisplayName           Name                RegionalDisplayName
--------------------  ------------------  ----------------------------------
South Africa North    southafricanorth    (Africa) South Africa North
South Africa West     southafricawest     (Africa) South Africa West
Australia Central     australiacentral    (Asia Pacific) Australia Central
Australia Central 2   australiacentral2   (Asia Pacific) Australia Central 2
Australia East        australiaeast       (Asia Pacific) Australia East
Australia Southeast   australiasoutheast  (Asia Pacific) Australia Southeast
Central India         centralindia        (Asia Pacific) Central India
East Asia             eastasia            (Asia Pacific) East Asia
Japan East            japaneast           (Asia Pacific) Japan East
Japan West            japanwest           (Asia Pacific) Japan West
Jio India Central     jioindiacentral     (Asia Pacific) Jio India Central
Jio India West        jioindiawest        (Asia Pacific) Jio India West
Korea Central         koreacentral        (Asia Pacific) Korea Central
Korea South           koreasouth          (Asia Pacific) Korea South
South India           southindia          (Asia Pacific) South India
Southeast Asia        southeastasia       (Asia Pacific) Southeast Asia
West India            westindia           (Asia Pacific) West India
Canada Central        canadacentral       (Canada) Canada Central
Canada East           canadaeast          (Canada) Canada East
France Central        francecentral       (Europe) France Central
France South          francesouth         (Europe) France South
Germany North         germanynorth        (Europe) Germany North
Germany West Central  germanywestcentral  (Europe) Germany West Central
Italy North           italynorth          (Europe) Italy North
North Europe          northeurope         (Europe) North Europe
Norway East           norwayeast          (Europe) Norway East
Norway West           norwaywest          (Europe) Norway West
Poland Central        polandcentral       (Europe) Poland Central
Spain Central         spaincentral        (Europe) Spain Central
Sweden Central        swedencentral       (Europe) Sweden Central
Switzerland North     switzerlandnorth    (Europe) Switzerland North
Switzerland West      switzerlandwest     (Europe) Switzerland West
UK South              uksouth             (Europe) UK South
UK West               ukwest              (Europe) UK West
West Europe           westeurope          (Europe) West Europe
Mexico Central        mexicocentral       (Mexico) Mexico Central
Israel Central        israelcentral       (Middle East) Israel Central
Qatar Central         qatarcentral        (Middle East) Qatar Central
UAE Central           uaecentral          (Middle East) UAE Central
UAE North             uaenorth            (Middle East) UAE North
Brazil South          brazilsouth         (South America) Brazil South
Brazil Southeast      brazilsoutheast     (South America) Brazil Southeast
Brazil US             brazilus            (South America) Brazil US
Central US            centralus           (US) Central US
Central US EUAP       centraluseuap       (US) Central US EUAP
East US               eastus              (US) East US
East US 2             eastus2             (US) East US 2
East US 2 EUAP        eastus2euap         (US) East US 2 EUAP
East US STG           eastusstg           (US) East US STG
North Central US      northcentralus      (US) North Central US
South Central US      southcentralus      (US) South Central US
South Central US STG  southcentralusstg   (US) South Central US STG
West Central US       westcentralus       (US) West Central US
West US               westus              (US) West US
West US 2             westus2             (US) West US 2
West US 3             westus3             (US) West US 3
